title,price,link,product_searched,store
LEAPORIX MALL - Sprite Lemon Mint 500ml × 12 | Refreshing Soft Drink with Zesty Mint Twist,"Rs. 1,899",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-mint-500ml-12-refreshing-soft-drink-with-zesty-mint-twist-i832466058.html,Sprite Drink,Daraz
Sprite 1.5 Litre X 6 Brand: Sprite,"Rs. 1,100",https://www.daraz.pk/products/15-x-6-i846488078.html,Sprite Drink,Daraz
"Sprite Regular Lemon Lime Flavor Soda, 250ml Cans, Pack of 24, Carbonated Soft Drinks, Refreshing, Clean-Tasting Beverages","Rs. 6,589",https://www.daraz.pk/products/sprite-regular-lemon-lime-flavor-soda-250ml-cans-pack-of-24-carbonated-soft-drinks-refreshing-clean-tasting-beverages-i778924169.html,Sprite Drink,Daraz
LEAPORIX MALL Sprite Zero Sugar 500ml Pack of 12 – BUY 10 GET 2 FREE – Refreshing Sugar-Free Lemon Lime Drink,"Rs. 2,085",https://www.daraz.pk/products/leaporix-mall-sprite-zero-sugar-500ml-pack-of-12-buy-10-get-2-free-refreshing-sugar-free-lemon-lime-drink-i839983755.html,Sprite Drink,Daraz
LEAPORIX MALL - Sprite Lemon Lime 350ml × 12 | Refreshing Fizzy Drink with Crisp Citrus Flavor | Chilled Soft Drink Pack,"Rs. 1,475",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-lime-350ml-12-refreshing-fizzy-drink-with-crisp-citrus-flavor-chilled-soft-drink-pack-i833231374.html,Sprite Drink,Daraz
Sprite Lemon Mint 500ml Bottle – Carton of 12 | Refreshing Lemon-Lime with Mint Twist,"Rs. 1,999",https://www.daraz.pk/products/sprite-lemon-mint-500ml-bottle-carton-of-12-refreshing-lemon-lime-with-mint-twist-i880806091.html,Sprite Drink,Daraz
Alfatah Mall - MURREE SPARKLETTS WATER SPARKLING CARBONATED 330ML-AFP-000295286,Rs. 90,https://www.daraz.pk/products/330ml-afp-000295286-i469967939.html,Sprite Drink,Daraz
LEAPORIX MALL SPRITE LEMON MINT 500ml – Pack of 12 (BUY 10 GET 2 FREE) – Refreshing Lemon & Mint Flavored Soft Drink – Original PET Bottles,"Rs. 1,875",https://www.daraz.pk/products/leaporix-mall-sprite-lemon-mint-500ml-pack-of-12-buy-10-get-2-free-refreshing-lemon-mint-flavored-soft-drink-original-pet-bottles-i839999125.html,Sprite Drink,Daraz
GATORADE BLUE BOLT ENERGY DRINK PET BOTTLE 500ML PK|GR15717| |,Rs. 94,https://www.daraz.pk/products/500-pk-i894049534.html,Sprite Drink,Daraz
"Malee 100% Coconut Water, 330ml (made in Thailand ) (𝐢𝐦𝐩𝐨𝐫𝐭𝐞𝐝 & 𝐨𝐫𝐢𝐠𝐧𝐚𝐥)",Rs. 999,https://www.daraz.pk/products/100-330-i432585464.html,Sprite Drink,Daraz
Bison Energy Drink 250 Ml ( from Saudi Arab ),Rs. 600,https://www.daraz.pk/products/250-i892529936.html,Sprite Drink,Daraz
"Gatorad Blue Bolt Sports Drink, 500ml - Pack of 6 Bottles","Rs. 1,049",https://www.daraz.pk/products/gatorad-blue-bolt-sports-drink-500ml-pack-of-6-bottles-i891738283.html,Sprite Drink,Daraz
"Gatorad Blue Bolt Sports Drink, 500ml",Rs. 225,https://www.daraz.pk/products/gatorad-blue-bolt-sports-drink-500ml-i891739274.html,Sprite Drink,Daraz
"Gatorad Active Hydration Drink Lemon Lime, 500ml Pack of 6 Bottles","Rs. 1,049",https://www.daraz.pk/products/gatorad-active-hydration-drink-lemon-lime-500ml-pack-of-6-bottles-i891721744.html,Sprite Drink,Daraz
"Sprite Lemon Mint Flavor Bottle, 500 ML - Carton | Refreshing, Tangy & Crisp Beverage","Rs. 1,699",https://www.daraz.pk/products/sprite-lemon-mint-flavor-bottle-500-ml-carton-refreshing-tangy-crisp-beverage-i619984940.html,Sprite Drink,Daraz
San Pellegrino Sparkling Natural Mineral Water (𝐢𝐦𝐩𝐨𝐫𝐭𝐞𝐝 & 𝐨𝐫𝐢𝐠𝐧𝐚𝐥),"Rs. 1,999",https://www.daraz.pk/products/-i432581667.html,Sprite Drink,Daraz
Red Bull Energy Drink 250ml,Rs. 950,https://www.daraz.pk/products/250-i879160236.html,Sprite Drink,Daraz
